day,retailer_profit,distributor_profit,factory_profit,retailer_holding_cost,distributor_holding_cost,factory_holding_cost,shortage_cost,overtime_cost,service_level,bullwhip_ratio,retailer_eoq,distributor_eoq,factory_eoq,customer_demand,customer_served,retailer_order,factory_supply,retailer_inventory,distributor_inventory,factory_inventory
11,14.280821917808225,244.30794520547946,1642.964383561644,0.7191780821917808,1.6920547945205482,1.0356164383561643,2925.0,0.0,0.6176470588235294,0.010730858468677494,105,136,96,170,105,105,137,105,386,189
12,-390.7191780821918,1888.7682191780823,-1.0356164383561643,0.7191780821917808,1.2317808219178084,1.0356164383561643,3330.0,0.0,0.5865921787709497,0.010178346243920016,106,136,92,179,105,105,0,105,281,189
13,-300.72602739726017,274.63671232876715,-2827.2876712328766,0.726027397260274,1.363287671232877,3.287671232876712,3240.0,0.0,0.5932203389830508,0.008530623981596857,106,136,93,177,105,106,136,106,311,600
14,2112.27397260274,274.50520547945206,804.9479452054794,0.726027397260274,1.4947945205479454,3.052054794520548,855.0,0.0,0.848,0.007374256217260846,106,136,93,125,106,106,136,106,341,557
15,2292.27397260274,274.37369863013697,116.71232876712328,0.726027397260274,1.626301369863014,3.287671232876712,675.0,0.0,0.8760330578512396,0.0055907832455121915,105,136,94,121,106,106,136,106,371,600
16,402.2808219178082,1888.8339726027398,-3.287671232876712,0.7191780821917808,1.1660273972602742,3.287671232876712,2565.0,0.0,0.6503067484662577,0.004407366598457422,105,136,91,163,106,105,0,105,266,600
17,734.2808219178082,256.6980821917808,1629.4575342465753,0.7191780821917808,1.3019178082191782,2.5424657534246577,2205.0,0.0,0.6818181818181818,0.0045849974058567305,105,136,92,154,105,105,136,105,297,464
18,869.2808219178082,256.56219178082193,-627.2876712328767,0.7191780821917808,1.4378082191780823,3.287671232876712,2070.0,0.0,0.695364238410596,0.004814680232558139,105,136,93,151,105,105,136,105,328,600
19,645.0,-1.4378082191780823,-3.287671232876712,0.0,1.4378082191780823,3.287671232876712,2295.0,0.0,0.6730769230769231,0.005013497878904743,105,133,90,156,105,0,0,0,328,600
20,-5490.719178082192,-1304.1435616438357,980.7123287671233,0.7191780821917808,2.143561643835617,3.287671232876712,5490.0,0.0,0.0,2.0549147594818673,105,133,94,122,0,105,266,105,489,600
21,329.2808219178082,1888.3167123287672,-3.287671232876712,0.7191780821917808,1.6832876712328768,3.287671232876712,2610.0,0.0,0.6441717791411042,1.7428918451856925,105,133,92,163,105,105,0,105,384,600
22,329.2808219178082,1888.7769863013698,-3.287671232876712,0.7191780821917808,1.2230136986301372,3.287671232876712,2610.0,0.0,0.6441717791411042,1.713058183646419,105,133,89,163,105,105,0,105,279,600
23,959.2808219178082,292.6542465753425,448.71232876712327,0.7191780821917808,1.3457534246575344,3.287671232876712,1980.0,0.0,0.7046979865771812,1.68689230153283,105,133,90,149,105,105,133,105,307,600
24,1994.2808219178082,292.53150684931506,448.71232876712327,0.7191780821917808,1.4684931506849317,3.287671232876712,945.0,0.0,0.8333333333333334,1.6853704133291487,104,133,91,126,105,105,133,105,335,600
25,1544.2876712328766,274.40438356164384,1593.441095890411,0.7123287671232876,1.5956164383561646,2.558904109589041,1395.0,0.0,0.7720588235294118,1.5236889180142046,104,133,91,136,105,104,133,104,364,467
26,-283.7123287671234,1870.8602739726027,-2.558904109589041,0.7123287671232876,1.1397260273972605,2.558904109589041,3195.0,0.0,0.5942857142857143,1.4756226001097092,105,133,89,175,104,104,0,104,260,467
27,1831.2808219178082,292.73753424657536,1594.1698630136987,0.7191780821917808,1.2624657534246577,1.83013698630137,1080.0,0.0,0.8125,1.3722351856935566,104,133,90,128,104,105,133,105,288,334
28,779.2876712328766,1871.1934246575343,-1.83013698630137,0.7123287671232876,0.8065753424657536,1.83013698630137,2160.0,0.0,0.6862745098039216,1.2835152039097026,104,133,88,153,105,104,0,104,184,334
29,1650.7397260273974,1715.41698630137,-2920.1369863013697,1.2602739726027397,0.5830136986301371,4.136986301369863,1260.0,0.0,0.7878787878787878,1.2835527742231707,104,135,89,132,104,184,133,184,133,755
30,4507.842465753424,-1621.174794520548,1616.6027397260275,0.15753424657534246,1.1747945205479453,3.3972602739726026,0.0,0.0,1.0,1.9774347822661342,104,133,89,161,161,0,135,23,268,620
